node,lineage
NODE_0000000,A/B
NODE_0000001,A/B
NODE_0000002,B.3
NODE_0000003,B
NODE_0000004,B
NODE_0000005,B.4
NODE_0000006,B
NODE_0000007,B.31
NODE_0000008,B.28
NODE_0000009,B
NODE_0000010,B
NODE_0000011,B
NODE_0000012,B.61
NODE_0000013,B.40
NODE_0000014,A
NODE_0000015,A
NODE_0000016,A
NODE_0000017,A.1
NODE_0000018,A.1
NODE_0000019,A.1
NODE_0000020,A
NODE_0000021,A.4
NODE_0000022,A
NODE_0000023,A.28
NODE_0000024,A.28
NODE_0000025,A
NODE_0000026,A
NODE_0000027,A.23.1
NODE_0000028,A.29
NODE_0000029,A.29
NODE_0000030,A.2
NODE_0000031,A.2
NODE_0000032,A.2.5
NODE_0000033,A.2.5
NODE_0000034,A.2.5
NODE_0000035,A.2.5
NODE_0000036,A.2.5
NODE_0000037,A.2.5
NODE_0000038,A.2.5.2
NODE_0000039,A.2.5.2
NODE_0000040,A.2.5.2
NODE_0000041,A.2.5.2
NODE_0000042,A.2.5.2
NODE_0000043,A.2.5.2
NODE_0000044,A.2.5.2
NODE_0000045,A.2.5.2
NODE_0000046,A.2.5.2
NODE_0000047,A.2.5
NODE_0000048,A.2.5
NODE_0000049,A.2.5
NODE_0000050,A.2.5
NODE_0000051,A.2.5
NODE_0000052,A.2.5
NODE_0000053,A.2.5
NODE_0000054,A.2.5
NODE_0000055,A.2.5
NODE_0000056,A.2.5
NODE_0000057,A.2.5
NODE_0000058,A.2.5
NODE_0000059,A.2.5
NODE_0000060,A.2.5
NODE_0000061,A/B
NODE_0000062,B.1
NODE_0000063,B.1.93
NODE_0000064,B.1
NODE_0000065,B.1.126
NODE_0000066,B.1
NODE_0000067,B.1.377
NODE_0000068,B.1
NODE_0000069,B.1.565
NODE_0000070,B.1.565
NODE_0000071,B.1
NODE_0000072,B.1.620
NODE_0000073,B.1.221
NODE_0000074,B.1.221
NODE_0000075,B.1.221
NODE_0000076,B.1.221
NODE_0000077,B.1
NODE_0000078,B.1
NODE_0000079,B.1.627
NODE_0000080,B.1.636
NODE_0000081,B.1.636
NODE_0000082,B.1.636
NODE_0000083,B.1.636
NODE_0000084,B.1.636
NODE_0000085,B.1
NODE_0000086,B.1.634
NODE_0000087,B.1.634
NODE_0000088,B.1.634
NODE_0000089,B.1.634
NODE_0000090,B.1.628
NODE_0000091,B.1.628
NODE_0000092,B.1.628
NODE_0000093,B.1.628
NODE_0000094,B.1.628
NODE_0000095,B.1.628
NODE_0000096,B.1.628
NODE_0000097,B.1.628
NODE_0000098,B.1
NODE_0000099,B.1.214.3
NODE_0000100,B.1.214.3
NODE_0000101,B.1.214.3
NODE_0000102,B.1
NODE_0000103,B.1.637
NODE_0000104,B.1.637
NODE_0000105,B.1.637
NODE_0000106,B.1.637
NODE_0000107,B.1.637
NODE_0000108,B.1
NODE_0000109,B.1.619
NODE_0000110,B.1.619
NODE_0000111,B.1.619
NODE_0000112,B.1.415.1
NODE_0000113,B.1.415.1
NODE_0000114,B.1.415.1
NODE_0000115,B.1.525
NODE_0000116,B.1.525
NODE_0000117,B.1.525
NODE_0000118,B.1.525
NODE_0000119,B.1.525
NODE_0000120,B.1.525
NODE_0000121,B.1.525
NODE_0000122,B.1.525
NODE_0000123,B.1.525
NODE_0000124,B.1.525
NODE_0000125,B.1.525
NODE_0000126,B.1.525
NODE_0000127,B.1.525
NODE_0000128,B.1.525
NODE_0000129,B.1.525
NODE_0000130,B.1.525
NODE_0000131,B.1
NODE_0000132,B.1.416
NODE_0000133,B.1.416.1
NODE_0000134,B.1.635
NODE_0000135,B.1.635
NODE_0000136,B.1
NODE_0000137,B.1.258
NODE_0000138,B.1.258
NODE_0000139,B.1.258
NODE_0000140,B.1.258.16
NODE_0000141,B.1.258
NODE_0000142,B.1.258
NODE_0000143,B.1.258
NODE_0000144,B.1.258
NODE_0000145,B.1.258.6
NODE_0000146,B.1.258.7
NODE_0000147,B.1.258.7
NODE_0000148,B.1.258
NODE_0000149,B.1.258
NODE_0000150,B.1.258.4
